"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4427","Remove a product from the wishlist","","Sat Jan 04 18:11:56 UTC 2025","passed","Sat Jan 04 18:12:01 UTC 2025","","","",""
"","14226","Add a product to the wishlist from the products page","","Sat Jan 04 18:11:42 UTC 2025","passed","Sat Jan 04 18:11:56 UTC 2025","","","",""
"","57947","User registration with existing email address","","Sat Jan 04 18:10:44 UTC 2025","passed","Sat Jan 04 18:11:42 UTC 2025","","","",""
"","18249","Add a new address with valid details","","Sat Jan 04 18:12:35 UTC 2025","passed","Sat Jan 04 18:12:53 UTC 2025","","","",""
"","32718","User registration with valid data","","Sat Jan 04 18:10:11 UTC 2025","passed","Sat Jan 04 18:10:44 UTC 2025","","","",""
"","1325","Remove a product from the shopping cart","","Sat Jan 04 18:12:18 UTC 2025","broken","Sat Jan 04 18:12:19 UTC 2025","","","",""
"","17423","Add a product to the shopping cart","","Sat Jan 04 18:12:01 UTC 2025","passed","Sat Jan 04 18:12:18 UTC 2025","","","",""
"","7764","Validation errors when fields are left empty or invalid","","Sat Jan 04 18:12:27 UTC 2025","passed","Sat Jan 04 18:12:35 UTC 2025","","","",""
"","7848","Successfully update account details","","Sat Jan 04 18:12:19 UTC 2025","passed","Sat Jan 04 18:12:27 UTC 2025","","","",""
