"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22680","User registration with valid data","","Tue Dec 31 20:43:27 UTC 2024","passed","Tue Dec 31 20:43:50 UTC 2024","","","",""
"","33","Login with valid credentials","","Tue Dec 31 20:43:50 UTC 2024","passed","Tue Dec 31 20:43:50 UTC 2024","","","",""
